Datetime,Close,Volume
20200423-1555,279.08,3637667
20200424-0930,280.6,3956777
20200424-0935,280.59,924946
20200424-0940,279.98,780264
20200424-0945,279.12,1413683
20200424-0950,279.57,884998
20200424-0955,278.86,1029629
20200424-1000,279.22,1035700
20200424-1005,278.92,865387
20200424-1010,279.35,861152
20200424-1015,279.9,978273
20200424-1020,279.81,694579
20200424-1025,279.46,752998
20200424-1030,279.93,789752
20200424-1035,280.22,904554
20200424-1040,280.22,462521
20200424-1045,279.99,498840
20200424-1050,279.84,347664
20200424-1055,279.59,657166
20200424-1100,279.11,874617
20200424-1105,279.02,635424
20200424-1110,278.86,1336955
20200424-1115,279.2,698596
20200424-1120,279.42,627602
20200424-1125,279.14,2639012
20200424-1130,278.95,755062
20200424-1135,279.44,620779
20200424-1140,279.22,394842
20200424-1145,279.72,654381
20200424-1150,279.46,2398937
20200424-1155,279.35,617569
20200424-1200,279.51,435847
20200424-1205,279.8,511582
20200424-1210,279.61,262103
20200424-1215,279.73,414374
20200424-1220,279.52,710008
20200424-1225,280.0,598993
20200424-1230,279.85,446213
20200424-1235,280.2,722718
20200424-1240,280.36,838614
20200424-1245,280.35,415418
20200424-1250,280.08,964225
20200424-1255,280.22,347036
20200424-1300,280.01,347943
20200424-1305,280.02,262353
20200424-1310,279.91,362763
20200424-1315,280.04,788427
20200424-1320,280.03,271894
20200424-1325,280.31,370340
20200424-1330,280.17,528893
20200424-1335,280.46,404066
20200424-1340,280.87,863997
20200424-1345,280.77,495357
20200424-1350,281.05,720931
20200424-1355,281.52,1671993
20200424-1400,281.56,993649
20200424-1405,281.76,865703
20200424-1410,281.7,759722
20200424-1415,281.84,777653
20200424-1420,281.64,674290
20200424-1425,281.64,735179
20200424-1430,281.64,445490
20200424-1435,282.25,991649
20200424-1440,282.15,1016838
20200424-1445,282.39,688941
20200424-1450,282.08,884599
20200424-1455,282.21,850046
20200424-1500,281.88,826297
20200424-1505,282.49,733998
20200424-1510,282.27,965508
20200424-1515,282.43,842653
20200424-1520,282.75,827169
20200424-1525,282.92,1232832
20200424-1530,282.99,980388
20200424-1535,283.15,1350917
20200424-1540,283.49,2352434
20200424-1545,283.49,2744986
20200424-1550,282.9,3453153
20200424-1555,283.03,5222715
20200427-0930,285.12,3536953
20200427-0935,285.46,1074044
20200427-0940,284.74,1006052
20200427-0945,285.13,811978
20200427-0950,285.22,777838
20200427-0955,285.52,1291245
20200427-1000,285.55,1380287
20200427-1005,285.44,818228
20200427-1010,285.66,718457
20200427-1015,286.09,1008956
20200427-1020,285.89,1366272
20200427-1025,285.85,626864
20200427-1030,285.81,750188
20200427-1035,285.93,862038
20200427-1040,286.04,731659
20200427-1045,286.06,704079
20200427-1050,286.24,851046
20200427-1055,285.69,845764
20200427-1100,285.89,595426
20200427-1105,285.92,359295
20200427-1110,285.98,371276
20200427-1115,286.37,609607
20200427-1120,286.39,692391
20200427-1125,286.6,804514
20200427-1130,286.87,762478
